ort_id;name;kategorie;unterkategorie;adresse;plz;stadtteil;bezirk;website;anlagetyp;anlage_hinweise;Ermäßigung;konfession;quelle;quelle_datum;verifiziert;lat;lon;notizen
T001;Altonaer Theater;theater;;Museumsstraße 17;22765;Ottensen;Altona;https://www.altonaer-Theater.de/service/barrierefreiheit/ ;mobile_connect;Eigenes Smartphone oder iPod zum Ausleihen;ja;nan;Webseite;26. März 2026;nein;53.548477;9.934263;
T002;Deutsches Schauspielhaus;theater;;Kirchenallee 39;20099;St. Georg;Hamburg-Mitte;https://schauspielhaus.de/ihr-besuch;mobile_connect;;GdB50;nan;Webseite;26. März 2026;nein;53.554497;10.008936;
T003;Ernst-Deutsch-Theater;theater;;Friedrich-Schütterplatz 1;22087;Uhlenhorst;Hamburg-Nord;www.ernst-deutsch-Theater.de/barrierefreiheit/;funk;Kopfhörerverleih;GdB50;nan;Webseite;26. März 2026;nein;53.569245;10.026195;
T004;Harburger Theater;theater;;Museumsplatz 2;21073;Harburg;Harburg;https://www.harburger-theater.de/barrierefreiheit/;induktion;Reihe 1-3;ja;nan;Webseite;26. März 2026;nein;53.459162;9.97726;
T005;Komödie Winterhuder Fährhaus;theater;;Hudtwalkerstraße 13;22299;Winterhude;Hamburg-Nord;https://www.komoedie-hamburg.de/hygienekonzept-barrierefreiheit/;infrarot;Kinnbügelkopfhörer an der Garderobe;ja;nan;Webseite;26. März 2026;nein;53.593717;9.994248;
T006;Ohnsorg Theater;theater;;Heidi-Kabel-Platz 1;20099;St. Georg;Hamburg-Mitte;https://www.ohnsorg.de/service/barrierefreiheit-am-ohnsorg-theater/;infrarot;Sennheiser Kopfhörer HDI-830 zum Ausleihen;GdB60;nan;Webseite;26. März 2026;nein;53.554502;10.007081;
T007;St. Pauli Theater;theater;;Spielbudenplatz 29-30;20359;St. Pauli;Hamburg-Mitte;https://www.st-pauli-theater.de/karten/#1552992428215-3-4;induktion;Gesamter Parkettbereich (außer Reihe A+B) sowie erster Rang;ja;nan;Webseite;26. März 2026;nein;53.549101;9.962988;
T008;Thalia Theater;theater;;Alstertor;20095;Altstadt;Hamburg-Mitte;https://www.thalia-theater.de/en/accessibility#h%C3%B6rverst%C3%A4rkung;infrarot, DGS (ausgewählt);Ausgewählte Veranstaltungen in DGS;ja;nan;Webseite;26. März 2026;nein;53.552138;9.998668;
T009;Stage Theater an der Elbe;theater;;Norderelbstraße 8;20457;HafenCity;Hamburg-Mitte;https://www.stage-entertainment.de/;funk;Kopfhörer an der Kasse erhältlich;GdB70;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.539685;9.974608;
T010;Theater in der Marschnerstraße;theater;;Marschnerstraße 46;22081;Barmbek-Süd;Hamburg-Nord;http://www.theater-marschnerstrasse.de/;infrarot;Empfangsgeräte zum Ausleihen;nein;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.573742;10.04005;
T011;Kampnagel;theater;;Jarrestraße 20;22303;Winterhude;Hamburg-Nord;https://kampnagel.de/service/barrierefreiheit/barrierefreie-veranstaltungen;induktion, DGS (ausgewählt), untertitel;K1/K2/K6 – gutes Hören auf allen Plätzen außer erste und letzte Reihe, siehe Programm in Link;ja (außer Konzerte);nan;Webseite;06. April 2026;nein;53.583301;10.022172;
T012;Operettenhaus;musical;;Spielbudenplatz 3;20359;St. Pauli;Hamburg-Mitte;https://www.stage-entertainment.de/theatervermietung/stage-operettenhaus-hamburg;induktion;Kopfhörer und Halsschleifen zum Ausleihen;GdB70;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.549433;9.966551;
T013;Theater im Hafen;musical;;Rohrweg 13;20457;HafenCity;Hamburg-Mitte;https://www.stage-entertainment.de/theatervermietung/stage-theater-im-hafen-hamburg;funk;Kopfhörer an der Kasse erhältlich;GdB70;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.539894;9.973248;
T014;Neue Flora;musical;;Stresemannstraße 159a;22769;Altona-Nord;Altona;https://www.stage-entertainment.de/theatervermietung/stage-theater-neue-flora-hamburg;funk;Funkempfänger und Hörschleifen zum Ausleihen;GdB70;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.562623;9.950301;
K001;Elbphilharmonie;konzerthaus;;Platz der Deutschen Einheit 4;20457;HafenCity;Hamburg-Mitte;https://www.elbphilharmonie.de/de/barrierefreiheit;induktion;Großer Saal: in den Bereichen E, I und K Induktion kleiner Saal: Kopfhörer;ja;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.54115;9.985377;
O001;Hamburgische Staatsoper;oper;;Große Theaterstraße 25;20354;Neustadt;Hamburg-Mitte;https://www.die-hamburgische-staatsoper.de/de/service/ihr-besuch#barrierefreiheit;infrarot;Kopfhörer;Gdb80;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;01. Mai 2020;nein;53.556675;9.98893;
C001;Abaton;kino;;Allendeplatz 1;20146;Rotherbaum;Eimsbüttel;https://www.abaton.de/!Service;untertitel;Filme mit UT können bestellt werden mit Email an office@abatonkino.de oder Tel an 41 320 330;ja;nan;Webseite;06. April 2026;nein;53.567247;9.982254;
C002;Alabama;kino;;Jarrestraße 20;22303;Winterhude;Hamburg-Nord;https://alabama-kino.com/;untertitel;Filme in OmU immer mittwochs;ja;nan;Webseite;06. April 2026;nein;53.583301;10.022172;
C003;Magazin;kino;;Fiefstücken 8a;22299;Winterhude;Hamburg-Nord;https://www.magazinfilmkunst.de/preise-und-vorbestellungen/;untertitel;Siehe Programmhinweis;nein;nan;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;20. Mai 2026;nein;53.599733;10.004016;
C004;Passage;kino;;Mönckebergstraße 17;20095;Altstadt;Hamburg-Mitte;https://www.das-passage.de/index.php/PID/5828.html;untertitel;Siehe Programmhinweis;nein;nan;Webseite;06. April 2026;nein;53.550486;9.998382;
C005;Metropolis;kino;;Kleine Theaterstraße 10;;;;;untertitel;Siehe Programmhinweis;;;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;20. Mai 2026;nein;53.55627;9.9889;
C006;Zeise-Kino;kino;;Friedensallee 7-9;;;;;untertitel;Siehe Programmhinweis;;;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;20. Mai 2026;nein;53.554266;9.926782;
C007;3001 Kino;kino;;Schanzenstraße 75;;;;;untertitel;Siehe Programmhinweis;;;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;20. Mai 2026;nein;53.562245;9.965328;
C008;Open-Air Sommerkino Alsterdorfer Markt;kino;;Alsterdorfer Markt;;;;;untertitel;;;;;;nein;53.612737;10.024837;
M001;Gedenkstätte Neuengamme;gedenkstaette;;Jean-Doldierweg 75;;;;;induktion;Audioguide und Hörschleifen zum Ausleihen;;;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;20. Mai 2026;nein;53.430775;10.232249;
M002;KörberForum;veranstaltungszentrum;;Kehrwieder 12;;;;;induktion, rogeron_mitbringen;Nur im vorderen Bereich;;;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;20. Mai 2026;nein;53.543458;9.984135;
M003;Literaturhaus;veranstaltungszentrum;;Schwanenwik 38;;;;;mobile_connect;Eigenes Smartphone oder iPod zum Ausleihen;;;;;nein;53.568169;10.016776;
M004;NDR Rolf-Liebermann-Studio;veranstaltungszentrum;;Oberstraße 120;;;;;induktion;Reihen B–F linke Seite mit Kennzeichnung;;;Bund der Schwerhörigen e.V. https://www.glvhh.de/unsere-angebote/technik-hilfsmittel/anlagenverzeichnis/;20. Mai 2026;nein;53.577159;9.991192;
